"BehaviorSpace results (NetLogo 6.3.0)"
"3-SmallWorldDiffusion.nlogo"
"experiment 1"
"03/19/2023 17:41:55:179 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-80","80","-80","80"
"[run number]","prob-spread-one","rewiring-probability","num-nodes","complex-contagion?","prob-infection","[step]","num-infected"
"326","0.001","1","100","true","0.1","669","100"
"322","0.001","1","100","true","0.1","1529","100"
"330","0.001","1","100","true","0.1","331","100"
"329","0.001","1","100","true","0.1","812","100"
"316","0.001","1","100","true","0.1","2386","100"
"332","0.001","1","100","true","0.1","359","100"
"333","0.001","1","100","true","0.1","703","100"
"317","0.001","1","100","true","0.1","3462","100"
"335","0.001","1","100","true","0.1","1085","100"
"337","0.001","1","100","true","0.1","831","100"
"320","0.001","1","100","true","0.1","1525","100"
"338","0.001","1","100","true","0.1","724","100"
"336","0.001","1","100","true","0.1","1032","100"
"313","0.001","1","100","true","0.1","3997","100"
"340","0.001","1","100","true","0.1","643","100"
"339","0.001","1","100","true","0.1","656","100"
"343","0.001","1","100","true","0.1","593","100"
"334","0.001","1","100","true","0.1","2080","100"
"348","0.001","1","100","true","0.1","568","100"
"346","0.001","1","100","true","0.1","1377","100"
"331","0.001","1","100","true","0.1","2201","100"
"345","0.001","1","100","true","0.1","1331","100"
"351","0.001","1","100","true","0.1","1316","100"
"347","0.001","1","100","true","0.1","1963","100"
"349","0.001","1","100","true","0.1","1228","100"
"352","0.001","1","100","true","0.1","400","100"
"344","0.001","1","100","true","0.1","1924","100"
"357","0.001","1","100","true","0.1","242","100"
"355","0.001","1","100","true","0.1","684","100"
"358","0.001","1","100","true","0.1","687","100"
"354","0.001","1","100","true","0.1","1429","100"
"341","0.001","1","100","true","0.1","2162","100"
"328","0.001","1","100","true","0.1","3370","100"
"356","0.001","1","100","true","0.1","1566","100"
"342","0.001","1","100","true","0.1","2555","100"
"360","0.001","1","100","true","0.1","703","100"
"353","0.001","1","100","true","0.1","1004","100"
"361","0.001","1","100","true","0.1","1740","100"
"366","0.001","1","100","true","0.1","1054","100"
"359","0.001","1","100","true","0.1","1265","100"
"363","0.001","1","100","true","0.1","822","100"
"368","0.001","1","100","true","0.1","329","100"
"367","0.001","1","100","true","0.1","933","100"
"362","0.001","1","100","true","0.1","1493","100"
"364","0.001","1","100","true","0.1","1949","100"
"370","0.001","1","100","true","0.1","864","100"
"374","0.001","1","100","true","0.1","659","100"
"298","0.001","0.1","100","true","0.1","10000","99"
"371","0.001","1","100","true","0.1","1466","100"
