"BehaviorSpace results (NetLogo 6.3.0)"
"3-coordination_asymmetric.nlogo"
"experiment 2"
"03/04/2023 16:05:07:339 -0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-15","15","-15","15"
"[run number]","well-mixed","init-norm1","norm1-rarity-cost","norm1-coord-benefit","norm1-prosocial-benefit","[step]","(count turtles with [norm1?]) / (count turtles)"
"184","false","0.23","0.5","1","1","79","1"
"182","false","0.23","0.5","1","1","96","1"
"181","false","0.23","0.5","1","1","104","1"
"186","false","0.235","0.5","1","1","56","1"
"187","false","0.235","0.5","1","1","75","1"
"185","false","0.23","0.5","1","1","85","1"
"189","false","0.235","0.5","1","1","67","1"
"190","false","0.235","0.5","1","1","77","1"
"192","false","0.24","0.5","1","1","63","1"
"191","false","0.24","0.5","1","1","78","1"
"188","false","0.235","0.5","1","1","102","1"
"194","false","0.24","0.5","1","1","89","1"
"196","false","0.245","0.5","1","1","81","1"
"195","false","0.24","0.5","1","1","88","1"
"198","false","0.245","0.5","1","1","76","1"
"193","false","0.24","0.5","1","1","94","1"
"201","false","0.25","0.5","1","1","63","1"
"202","false","0.25","0.5","1","1","69","1"
"200","false","0.245","0.5","1","1","78","1"
"199","false","0.245","0.5","1","1","103","1"
"197","false","0.245","0.5","1","1","122","1"
"206","false","0.255","0.5","1","1","59","1"
"203","false","0.25","0.5","1","1","99","1"
"205","false","0.25","0.5","1","1","67","1"
"210","false","0.255","0.5","1","1","72","1"
"204","false","0.25","0.5","1","1","104","1"
"208","false","0.255","0.5","1","1","80","1"
"207","false","0.255","0.5","1","1","101","1"
"214","false","0.26","0.5","1","1","74","1"
"213","false","0.26","0.5","1","1","80","1"
"212","false","0.26","0.5","1","1","106","1"
"215","false","0.26","0.5","1","1","67","1"
"211","false","0.26","0.5","1","1","110","1"
"209","false","0.255","0.5","1","1","91","1"
"216","false","0.265","0.5","1","1","79","1"
"217","false","0.265","0.5","1","1","94","1"
"218","false","0.265","0.5","1","1","74","1"
"219","false","0.265","0.5","1","1","73","1"
"220","false","0.265","0.5","1","1","70","1"
"221","false","0.27","0.5","1","1","77","1"
"223","false","0.27","0.5","1","1","68","1"
"222","false","0.27","0.5","1","1","76","1"
"225","false","0.27","0.5","1","1","62","1"
"226","false","0.275","0.5","1","1","70","1"
"224","false","0.27","0.5","1","1","84","1"
"228","false","0.275","0.5","1","1","72","1"
"229","false","0.275","0.5","1","1","72","1"
"227","false","0.275","0.5","1","1","82","1"
"231","false","0.28","0.5","1","1","61","1"
"232","false","0.28","0.5","1","1","79","1"
"230","false","0.275","0.5","1","1","97","1"
"239","false","0.285","0.5","1","1","61","1"
"235","false","0.28","0.5","1","1","72","1"
"236","false","0.285","0.5","1","1","76","1"
"233","false","0.28","0.5","1","1","88","1"
"234","false","0.28","0.5","1","1","83","1"
"237","false","0.285","0.5","1","1","85","1"
"238","false","0.285","0.5","1","1","84","1"
"240","false","0.285","0.5","1","1","63","1"
"242","false","0.29","0.5","1","1","84","1"
"243","false","0.29","0.5","1","1","66","1"
"241","false","0.29","0.5","1","1","74","1"
"244","false","0.29","0.5","1","1","80","1"
"245","false","0.29","0.5","1","1","72","1"
"252","false","0.3","0.5","1","1","45","1"
"248","false","0.295","0.5","1","1","69","1"
"246","false","0.295","0.5","1","1","79","1"
"250","false","0.295","0.5","1","1","71","1"
"247","false","0.295","0.5","1","1","79","1"
"249","false","0.295","0.5","1","1","82","1"
"251","false","0.3","0.5","1","1","77","1"
"253","false","0.3","0.5","1","1","69","1"
"256","false","0.305","0.5","1","1","58","1"
"258","false","0.305","0.5","1","1","56","1"
"257","false","0.305","0.5","1","1","59","1"
"259","false","0.305","0.5","1","1","58","1"
"254","false","0.3","0.5","1","1","82","1"
"255","false","0.3","0.5","1","1","69","1"
"264","false","0.31","0.5","1","1","53","1"
"261","false","0.31","0.5","1","1","73","1"
"260","false","0.305","0.5","1","1","84","1"
"262","false","0.31","0.5","1","1","78","1"
"263","false","0.31","0.5","1","1","85","1"
"268","false","0.315","0.5","1","1","69","1"
"269","false","0.315","0.5","1","1","64","1"
"270","false","0.315","0.5","1","1","67","1"
"265","false","0.31","0.5","1","1","73","1"
"271","false","0.32","0.5","1","1","51","1"
"267","false","0.315","0.5","1","1","81","1"
"266","false","0.315","0.5","1","1","99","1"
"273","false","0.32","0.5","1","1","68","1"
"272","false","0.32","0.5","1","1","79","1"
"276","false","0.325","0.5","1","1","62","1"
"274","false","0.32","0.5","1","1","78","1"
"279","false","0.325","0.5","1","1","61","1"
"275","false","0.32","0.5","1","1","96","1"
"278","false","0.325","0.5","1","1","59","1"
"281","false","0.33","0.5","1","1","52","1"
"280","false","0.325","0.5","1","1","73","1"
"284","false","0.33","0.5","1","1","57","1"
"283","false","0.33","0.5","1","1","67","1"
"277","false","0.325","0.5","1","1","93","1"
