"BehaviorSpace results (NetLogo 6.3.0)"
"coordination_divisionoflabor.nlogo"
"experiment a"
"03/04/2023 16:35:35:088 -0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","40","0","19"
"[run number]","prob-outgroup-observation","norm1-share","prob-outgroup-interaction","init-norm1-groupA","surplus-benefit","init-norm1-groupB","[step]","freq-norm1-groupA","freq-norm1-groupB"
"121","0.24","0.7","0.9","0.6","7","0.4","200","0.8975","0.4"
"122","0.24","0.7","0.9","0.6","7","0.4","200","0.9325","0.42"
"123","0.24","0.7","0.9","0.6","7","0.4","200","0.915","0.4075"
"124","0.24","0.7","0.9","0.6","7","0.4","200","0.89","0.4125"
"125","0.24","0.7","0.9","0.6","7","0.4","200","0.94","0.34"
"126","0.24","0.7","0.9","0.6","7","0.4","200","0.9175","0.455"
"127","0.24","0.7","0.9","0.6","7","0.4","200","0.92","0.37"
"131","0.26","0.7","0.9","0.6","7","0.4","200","0.8875","0.415"
"129","0.24","0.7","0.9","0.6","7","0.4","200","0.88","0.4325"
"133","0.26","0.7","0.9","0.6","7","0.4","200","0.88","0.4475"
"132","0.26","0.7","0.9","0.6","7","0.4","200","0.9025","0.4325"
"130","0.24","0.7","0.9","0.6","7","0.4","200","0.905","0.46"
"134","0.26","0.7","0.9","0.6","7","0.4","200","0.9075","0.4725"
"128","0.24","0.7","0.9","0.6","7","0.4","200","0.9","0.5025"
"135","0.26","0.7","0.9","0.6","7","0.4","200","0.8625","0.4925"
"136","0.26","0.7","0.9","0.6","7","0.4","200","0.89","0.4625"
"137","0.26","0.7","0.9","0.6","7","0.4","200","0.9125","0.415"
"138","0.26","0.7","0.9","0.6","7","0.4","200","0.915","0.4425"
"139","0.26","0.7","0.9","0.6","7","0.4","200","0.9175","0.4025"
"141","0.28","0.7","0.9","0.6","7","0.4","200","0.9","0.4725"
"142","0.28","0.7","0.9","0.6","7","0.4","200","0.87","0.4575"
"140","0.26","0.7","0.9","0.6","7","0.4","200","0.855","0.5075"
"145","0.28","0.7","0.9","0.6","7","0.4","200","0.87","0.48"
"143","0.28","0.7","0.9","0.6","7","0.4","200","0.8925","0.5325"
"147","0.28","0.7","0.9","0.6","7","0.4","200","0.8625","0.4525"
"144","0.28","0.7","0.9","0.6","7","0.4","200","0.8825","0.5475"
"148","0.28","0.7","0.9","0.6","7","0.4","200","0.8425","0.555"
"146","0.28","0.7","0.9","0.6","7","0.4","200","0.905","0.465"
"149","0.28","0.7","0.9","0.6","7","0.4","200","0.8725","0.46"
"150","0.28","0.7","0.9","0.6","7","0.4","200","0.8875","0.475"
"153","0.3","0.7","0.9","0.6","7","0.4","200","0.83","0.58"
"151","0.3","0.7","0.9","0.6","7","0.4","200","0.8575","0.57"
"154","0.3","0.7","0.9","0.6","7","0.4","200","0.8625","0.525"
"155","0.3","0.7","0.9","0.6","7","0.4","200","0.865","0.4825"
"152","0.3","0.7","0.9","0.6","7","0.4","200","0.8625","0.5025"
"157","0.3","0.7","0.9","0.6","7","0.4","200","0.885","0.5175"
"156","0.3","0.7","0.9","0.6","7","0.4","200","0.8625","0.555"
"158","0.3","0.7","0.9","0.6","7","0.4","200","0.8875","0.5125"
"159","0.3","0.7","0.9","0.6","7","0.4","200","0.8275","0.4725"
"160","0.3","0.7","0.9","0.6","7","0.4","200","0.89","0.53"
"161","0.32","0.7","0.9","0.6","7","0.4","200","0.8725","0.5275"
"162","0.32","0.7","0.9","0.6","7","0.4","200","0.83","0.555"
"163","0.32","0.7","0.9","0.6","7","0.4","200","0.83","0.57"
"165","0.32","0.7","0.9","0.6","7","0.4","200","0.8525","0.59"
"166","0.32","0.7","0.9","0.6","7","0.4","200","0.8575","0.5725"
"164","0.32","0.7","0.9","0.6","7","0.4","200","0.64","0.7125"
"168","0.32","0.7","0.9","0.6","7","0.4","200","0.8375","0.535"
"167","0.32","0.7","0.9","0.6","7","0.4","200","0.8175","0.5775"
"169","0.32","0.7","0.9","0.6","7","0.4","200","0.735","0.65"
"171","0.34","0.7","0.9","0.6","7","0.4","200","0.8225","0.59"
"170","0.32","0.7","0.9","0.6","7","0.4","200","0.8175","0.5"
"172","0.34","0.7","0.9","0.6","7","0.4","200","0.4725","0.83"
"173","0.34","0.7","0.9","0.6","7","0.4","200","0.825","0.6275"
"177","0.34","0.7","0.9","0.6","7","0.4","200","0.8375","0.5325"
"175","0.34","0.7","0.9","0.6","7","0.4","200","0.8625","0.6"
"174","0.34","0.7","0.9","0.6","7","0.4","200","0.615","0.7925"
"176","0.34","0.7","0.9","0.6","7","0.4","200","0.5975","0.775"
"179","0.34","0.7","0.9","0.6","7","0.4","200","0.565","0.8175"
"178","0.34","0.7","0.9","0.6","7","0.4","200","0.77","0.6075"
"180","0.34","0.7","0.9","0.6","7","0.4","200","0.7825","0.6"
"182","0.36","0.7","0.9","0.6","7","0.4","200","0.6725","0.7425"
"181","0.36","0.7","0.9","0.6","7","0.4","200","0.6575","0.735"
"183","0.36","0.7","0.9","0.6","7","0.4","200","0.6025","0.745"
"184","0.36","0.7","0.9","0.6","7","0.4","200","0.5775","0.79"
"185","0.36","0.7","0.9","0.6","7","0.4","200","0.765","0.6675"
"186","0.36","0.7","0.9","0.6","7","0.4","200","0.7975","0.5975"
"187","0.36","0.7","0.9","0.6","7","0.4","200","0.5625","0.78"
"189","0.36","0.7","0.9","0.6","7","0.4","200","0.675","0.78"
"190","0.36","0.7","0.9","0.6","7","0.4","200","0.595","0.7275"
"188","0.36","0.7","0.9","0.6","7","0.4","200","0.755","0.615"
"191","0.38","0.7","0.9","0.6","7","0.4","200","0.705","0.7025"
"193","0.38","0.7","0.9","0.6","7","0.4","200","0.6975","0.77"
"192","0.38","0.7","0.9","0.6","7","0.4","200","0.66","0.74"
"194","0.38","0.7","0.9","0.6","7","0.4","200","0.69","0.7"
"195","0.38","0.7","0.9","0.6","7","0.4","200","0.71","0.655"
"198","0.38","0.7","0.9","0.6","7","0.4","200","0.7225","0.6675"
"199","0.38","0.7","0.9","0.6","7","0.4","200","0.7225","0.67"
"200","0.38","0.7","0.9","0.6","7","0.4","200","0.635","0.8025"
"201","0.4","0.7","0.9","0.6","7","0.4","200","0.7075","0.7275"
"196","0.38","0.7","0.9","0.6","7","0.4","200","0.72","0.7175"
"197","0.38","0.7","0.9","0.6","7","0.4","200","0.6875","0.6675"
"202","0.4","0.7","0.9","0.6","7","0.4","200","0.7525","0.63"
"204","0.4","0.7","0.9","0.6","7","0.4","200","0.7075","0.68"
"203","0.4","0.7","0.9","0.6","7","0.4","200","0.675","0.7375"
"205","0.4","0.7","0.9","0.6","7","0.4","200","0.68","0.6575"
"206","0.4","0.7","0.9","0.6","7","0.4","200","0.6675","0.705"
"207","0.4","0.7","0.9","0.6","7","0.4","200","0.6075","0.7225"
"208","0.4","0.7","0.9","0.6","7","0.4","200","0.6375","0.705"
"210","0.4","0.7","0.9","0.6","7","0.4","200","0.7075","0.6825"
"209","0.4","0.7","0.9","0.6","7","0.4","200","0.745","0.67"
