"BehaviorSpace results (NetLogo 6.3.0)"
"practice-segregation.nlogo"
"experiment 1"
"02/04/2023 19:56:11:410 -0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","density","exact?","num-groups","similarity-threshold","[step]","average-similarity","prop-uniform"
"28","0.45","true","2","0.15","4","0.6332010582010572","0.258974358974359"
"29","0.45","true","2","0.15","5","0.6145421245421251","0.2282051282051282"
"31","0.45","true","2","0.2","5","0.6700427350427347","0.3128205128205128"
"30","0.45","true","2","0.15","7","0.6386121286121281","0.24273504273504273"
"33","0.45","true","2","0.2","5","0.6417918192918189","0.2547008547008547"
"32","0.45","true","2","0.2","7","0.6370767195767191","0.25555555555555554"
"34","0.45","true","2","0.2","4","0.658581603581604","0.2863247863247863"
"35","0.45","true","2","0.2","5","0.6723097273097275","0.30854700854700856"
"37","0.45","true","2","0.2","5","0.6416107041107048","0.25726495726495724"
"36","0.45","true","2","0.2","7","0.6815445665445661","0.3170940170940171"
"39","0.45","true","2","0.2","4","0.6414255189255187","0.24700854700854702"
"38","0.45","true","2","0.2","6","0.6547028897028899","0.2794871794871795"
"41","0.45","true","2","0.25","5","0.7065211640211635","0.34273504273504274"
"40","0.45","true","2","0.2","6","0.6338675213675226","0.2376068376068376"
"15","0.45","true","2","0.1","5","0.6188705738705742","0.20256410256410257"
"43","0.45","true","2","0.25","5","0.7084096459096455","0.3658119658119658"
"42","0.45","true","2","0.25","8","0.7258547008546999","0.3837606837606838"
"45","0.45","true","2","0.25","5","0.6847405372405373","0.3213675213675214"
"46","0.45","true","2","0.25","7","0.708854293854293","0.3384615384615385"
"47","0.45","true","2","0.25","8","0.7078815628815628","0.3700854700854701"
"48","0.45","true","2","0.25","5","0.6949399674399673","0.3299145299145299"
"50","0.45","true","2","0.25","6","0.7079822954822961","0.34786324786324785"
"49","0.45","true","2","0.25","9","0.702065527065527","0.33418803418803417"
"51","0.45","true","2","0.3","11","0.7914367114367117","0.4905982905982906"
"52","0.45","true","2","0.3","10","0.8049399674399665","0.5222222222222223"
"53","0.45","true","2","0.3","11","0.7897924297924288","0.47692307692307695"
"54","0.45","true","2","0.3","9","0.7936396011396001","0.4897435897435897"
"56","0.45","true","2","0.3","9","0.8151984126984121","0.535042735042735"
"55","0.45","true","2","0.3","13","0.7836161986161967","0.4666666666666667"
"57","0.45","true","2","0.3","12","0.8227350427350418","0.5598290598290598"
"58","0.45","true","2","0.3","10","0.7969546194546183","0.4982905982905983"
"59","0.45","true","2","0.3","8","0.7885185185185178","0.4700854700854701"
"60","0.45","true","2","0.3","8","0.7963776963776954","0.488034188034188"
"61","0.45","true","2","0.35","10","0.884664224664223","0.67008547008547"
"62","0.45","true","2","0.35","12","0.8835002035002024","0.6735042735042736"
"63","0.45","true","2","0.35","10","0.8631695156695139","0.6153846153846154"
"64","0.45","true","2","0.35","10","0.8607061457061439","0.6196581196581197"
"65","0.45","true","2","0.35","10","0.881205738705738","0.6735042735042736"
"66","0.45","true","2","0.35","12","0.8665170940170926","0.6230769230769231"
"44","0.45","true","2","0.25","5","0.6917134717134711","0.3282051282051282"
"67","0.45","true","2","0.35","12","0.8677085877085858","0.6341880341880342"
"68","0.45","true","2","0.35","13","0.8746520146520123","0.6418803418803419"
"71","0.45","true","2","0.4","11","0.8711935286935273","0.6367521367521367"
"70","0.45","true","2","0.35","16","0.8782641432641424","0.658974358974359"
"72","0.45","true","2","0.4","10","0.8761121286121276","0.647008547008547"
"73","0.45","true","2","0.4","14","0.8547110297110275","0.5897435897435898"
"74","0.45","true","2","0.4","14","0.8801353276353263","0.658974358974359"
