"BehaviorSpace results (NetLogo 6.3.0)"
"4-random-walk.nlogo"
"experiment 1"
"02/04/2023 16:53:58:666 -0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","turning-angle","[step]","distance-from-center"
"73","0","1000","100.000000000001"
"60","0","1000","99.99999999999986"
"76","0","1000","100.00000000000006"
"77","0","1000","100.00000000000108"
"81","0","1000","99.99999999999909"
"83","0","1000","100.0000000000009"
"85","0","1000","100.0000000000009"
"62","0","1000","100.0000000000009"
"88","0","1000","99.99999999999761"
"86","0","1000","100.0000000000007"
"87","0","1000","99.999999999999"
"92","0","1000","99.99999999999912"
"90","0","1000","99.999999999999"
"75","0","1000","100.0000000000011"
"91","0","1000","100.00000000000017"
"89","0","1000","99.99999999999972"
"79","0","1000","100.00000000000061"
"93","0","1000","99.999999999999"
"82","0","1000","99.99999999999912"
"97","0","1000","99.99999999999912"
"84","0","1000","99.999999999999"
"99","0","1000","100.00000000000038"
"95","0","1000","99.99999999999933"
"94","0","1000","100.000000000001"
"100","0","1000","100.00000000000108"
"98","0","1000","100.00000000000031"
"105","10","1000","75.06019069524713"
"106","10","1000","73.54549371705346"
"102","10","1000","68.07040198224009"
"107","10","1000","67.55668084102818"
"103","10","1000","85.33735511698033"
"110","10","1000","71.94885967562584"
"108","10","1000","56.25280519637309"
"109","10","1000","87.27574877545774"
"111","10","1000","76.82751352377805"
"112","10","1000","78.17348832652176"
"104","10","1000","67.05418641842884"
"115","10","1000","73.11850184221905"
"117","10","1000","56.15087184416968"
"101","10","1000","91.68358272266512"
"114","10","1000","73.7649381853225"
"96","0","1000","100.00000000000018"
"120","10","1000","81.41138981335968"
"123","10","1000","64.1104840756935"
"122","10","1000","88.424727077615"
"121","10","1000","83.66572192692551"
"119","10","1000","57.465184528606244"
"118","10","1000","61.48871842931431"
"116","10","1000","87.49210922936676"
"124","10","1000","32.557511529791185"
"113","10","1000","68.82210819492516"
"131","10","1000","80.36515837314126"
"125","10","1000","85.34964387382682"
"130","10","1000","88.70918551714749"
"126","10","1000","69.23269440527359"
"129","10","1000","35.679284738181956"
"133","10","1000","54.21916247841513"
"134","10","1000","73.96284205023515"
"132","10","1000","29.196805847916547"
"127","10","1000","59.24218973240173"
"128","10","1000","32.608785143219635"
"137","10","1000","67.93529678949942"
"139","10","1000","77.82490751863008"
"141","10","1000","57.845726815615365"
"147","10","1000","78.53122851462652"
"138","10","1000","66.24006840663625"
"142","10","1000","48.30077630527914"
"143","10","1000","88.70398046383312"
"140","10","1000","79.78116680352825"
"135","10","1000","57.821411938621594"
"150","10","1000","89.39248164550635"
"149","10","1000","91.51544431372885"
"146","10","1000","6.516763882306524"
"144","10","1000","80.31641785154616"
"156","10","1000","43.84139664813198"
"157","10","1000","81.57646510460862"
"155","10","1000","67.80621644152484"
"136","10","1000","73.11851902216915"
"160","10","1000","86.54114349987464"
"148","10","1000","74.23050463177086"
"158","10","1000","45.308509933834074"
"161","10","1000","74.15248837420154"
"164","10","1000","87.69400306220352"
"162","10","1000","79.18010176440627"
"145","10","1000","27.202371004004206"
"159","10","1000","82.42053488746538"
"152","10","1000","81.95308979633572"
"154","10","1000","74.71903956748226"
"153","10","1000","50.903279840688924"
"167","10","1000","82.86245114583339"
"168","10","1000","70.94175264334719"
"166","10","1000","75.0073178294957"
"169","10","1000","55.70777618323491"
"151","10","1000","46.28626611826059"
"175","10","1000","76.89687542493019"
"171","10","1000","50.0446356317902"
"176","10","1000","75.58990633882301"
"172","10","1000","66.511296357175"
"170","10","1000","58.15884421683601"
