"BehaviorSpace results (NetLogo 6.3.0)"
"3-zombies!.nlogo"
"zombie batch"
"02/13/2023 22:33:56:765 -0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","num-turtles","spontaneous-infect","transmissibility","init-infected","zombie-speed","speed","zombie-death-rate","turning-angle","[step]","dead-zombies"
"197","300","0","0.2","3","0.4","0.6","0.2","60","17","8"
"201","300","0","0.2","3","0.4","0.6","0.3","60","10","3"
"199","300","0","0.2","3","0.4","0.6","0.2","60","17","7"
"203","300","0","0.2","3","0.4","0.6","0.3","60","7","9"
"202","300","0","0.2","3","0.4","0.6","0.3","60","12","6"
"206","300","0","0.2","3","0.4","0.6","0.3","60","5","3"
"210","300","0","0.2","3","0.4","0.6","0.3","60","3","4"
"207","300","0","0.2","3","0.4","0.6","0.3","60","4","6"
"208","300","0","0.2","3","0.4","0.6","0.3","60","4","4"
"205","300","0","0.2","3","0.4","0.6","0.3","60","5","6"
"211","300","0","0.2","3","0.4","0.6","0.4","60","3","4"
"212","300","0","0.2","3","0.4","0.6","0.4","60","2","5"
"215","300","0","0.2","3","0.4","0.6","0.4","60","3","4"
"217","300","0","0.2","3","0.4","0.6","0.4","60","6","5"
"213","300","0","0.2","3","0.4","0.6","0.4","60","7","5"
"184","300","0","0.2","3","0.4","0.6","0.1","60","51","21"
"214","300","0","0.2","3","0.4","0.6","0.4","60","7","3"
"219","300","0","0.2","3","0.4","0.6","0.4","60","2","7"
"218","300","0","0.2","3","0.4","0.6","0.4","60","5","5"
"216","300","0","0.2","3","0.4","0.6","0.4","60","9","11"
"222","300","0","0.2","3","0.4","0.6","0.5","60","2","6"
"223","300","0","0.2","3","0.4","0.6","0.5","60","4","4"
"221","300","0","0.2","3","0.4","0.6","0.5","60","4","3"
"209","300","0","0.2","3","0.4","0.6","0.3","60","15","6"
"225","300","0","0.2","3","0.4","0.6","0.5","60","4","5"
"224","300","0","0.2","3","0.4","0.6","0.5","60","5","5"
"195","300","0","0.2","3","0.4","0.6","0.2","60","41","30"
"220","300","0","0.2","3","0.4","0.6","0.4","60","9","8"
"230","300","0","0.2","3","0.4","0.6","0.5","60","2","5"
"231","300","0","0.2","3","0.4","0.6","0.6","60","1","4"
"232","300","0","0.2","3","0.4","0.6","0.6","60","2","4"
"227","300","0","0.2","3","0.4","0.6","0.5","60","6","4"
"234","300","0","0.2","3","0.4","0.6","0.6","60","2","4"
"236","300","0","0.2","3","0.4","0.6","0.6","60","2","3"
"238","300","0","0.2","3","0.4","0.6","0.6","60","1","3"
"233","300","0","0.2","3","0.4","0.6","0.6","60","5","3"
"239","300","0","0.2","3","0.4","0.6","0.6","60","1","4"
"237","300","0","0.2","3","0.4","0.6","0.6","60","4","5"
"228","300","0","0.2","3","0.4","0.6","0.5","60","8","5"
"226","300","0","0.2","3","0.4","0.6","0.5","60","8","6"
"241","300","0","0.2","3","0.4","0.6","0.7","60","2","3"
"243","300","0","0.2","3","0.4","0.6","0.7","60","1","3"
"229","300","0","0.2","3","0.4","0.6","0.5","60","5","6"
"240","300","0","0.2","3","0.4","0.6","0.6","60","3","4"
"242","300","0","0.2","3","0.4","0.6","0.7","60","2","3"
"247","300","0","0.2","3","0.4","0.6","0.7","60","2","4"
"250","300","0","0.2","3","0.4","0.6","0.7","60","1","3"
"245","300","0","0.2","3","0.4","0.6","0.7","60","2","5"
"248","300","0","0.2","3","0.4","0.6","0.7","60","2","5"
"249","300","0","0.2","3","0.4","0.6","0.7","60","3","4"
"235","300","0","0.2","3","0.4","0.6","0.6","60","8","7"
"246","300","0","0.2","3","0.4","0.6","0.7","60","2","4"
"251","300","0","0.2","3","0.4","0.6","0.8","60","2","4"
"253","300","0","0.2","3","0.4","0.6","0.8","60","1","3"
"256","300","0","0.2","3","0.4","0.6","0.8","60","1","4"
"252","300","0","0.2","3","0.4","0.6","0.8","60","3","3"
"257","300","0","0.2","3","0.4","0.6","0.8","60","1","4"
"254","300","0","0.2","3","0.4","0.6","0.8","60","2","4"
"244","300","0","0.2","3","0.4","0.6","0.7","60","5","3"
"260","300","0","0.2","3","0.4","0.6","0.8","60","1","3"
"255","300","0","0.2","3","0.4","0.6","0.8","60","3","3"
"259","300","0","0.2","3","0.4","0.6","0.8","60","1","3"
"262","300","0","0.2","3","0.4","0.6","0.9","60","1","3"
"258","300","0","0.2","3","0.4","0.6","0.8","60","2","3"
"263","300","0","0.2","3","0.4","0.6","0.9","60","1","3"
"185","300","0","0.2","3","0.4","0.6","0.1","60","93","56"
"261","300","0","0.2","3","0.4","0.6","0.9","60","2","3"
"268","300","0","0.2","3","0.4","0.6","0.9","60","1","3"
"264","300","0","0.2","3","0.4","0.6","0.9","60","1","4"
"269","300","0","0.2","3","0.4","0.6","0.9","60","1","4"
"267","300","0","0.2","3","0.4","0.6","0.9","60","1","3"
"266","300","0","0.2","3","0.4","0.6","0.9","60","2","5"
"270","300","0","0.2","3","0.4","0.6","0.9","60","3","3"
"265","300","0","0.2","3","0.4","0.6","0.9","60","2","5"
"271","300","0","0.2","3","0.55","0.6","0.1","60","8","3"
"280","300","0","0.2","3","0.55","0.6","0.1","60","5","3"
"281","300","0","0.2","3","0.55","0.6","0.2","60","3","4"
"91","300","0","0.2","3","0.25","0.6","0.1","60","202","84"
"279","300","0","0.2","3","0.55","0.6","0.1","60","14","5"
"274","300","0","0.2","3","0.55","0.6","0.1","60","27","8"
"282","300","0","0.2","3","0.55","0.6","0.2","60","12","4"
"285","300","0","0.2","3","0.55","0.6","0.2","60","4","4"
"287","300","0","0.2","3","0.55","0.6","0.2","60","3","3"
"288","300","0","0.2","3","0.55","0.6","0.2","60","5","4"
"278","300","0","0.2","3","0.55","0.6","0.1","60","41","28"
"289","300","0","0.2","3","0.55","0.6","0.2","60","3","3"
"286","300","0","0.2","3","0.55","0.6","0.2","60","14","8"
"181","300","0","0.2","3","0.4","0.6","0.1","60","107","50"
"283","300","0","0.2","3","0.55","0.6","0.2","60","14","5"
"290","300","0","0.2","3","0.55","0.6","0.2","60","2","5"
"277","300","0","0.2","3","0.55","0.6","0.1","60","51","24"
"291","300","0","0.2","3","0.55","0.6","0.3","60","8","5"
"292","300","0","0.2","3","0.55","0.6","0.3","60","12","12"
"296","300","0","0.2","3","0.55","0.6","0.3","60","4","4"
"284","300","0","0.2","3","0.55","0.6","0.2","60","16","5"
"293","300","0","0.2","3","0.55","0.6","0.3","60","6","3"
"294","300","0","0.2","3","0.55","0.6","0.3","60","7","3"
"298","300","0","0.2","3","0.55","0.6","0.3","60","5","3"
"297","300","0","0.2","3","0.55","0.6","0.3","60","10","9"
"303","300","0","0.2","3","0.55","0.6","0.4","60","3","3"
"302","300","0","0.2","3","0.55","0.6","0.4","60","3","3"
"304","300","0","0.2","3","0.55","0.6","0.4","60","2","3"
"301","300","0","0.2","3","0.55","0.6","0.4","60","2","4"
"295","300","0","0.2","3","0.55","0.6","0.3","60","19","11"
